,Unnamed: 0.1,Unnamed: 0,Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,WaPS
0,1,1,ARI,1B,Christian Walker,33,105,456,396,62,102,20,0,23,71,2,2,48,112,0.258,0.342,0.482,,,,,,,,,0.5872631578947368
1,2,2,ARI,2B,Ketel Marte,30,100,445,388,72,115,20,2,23,68,6,1,45,78,0.296,0.366,0.536,,,,,,,,,0.637123595505618
2,4,4,ARI,3B,Eugenio Suárez,32,101,400,351,42,76,15,2,12,51,2,1,35,116,0.217,0.298,0.373,,,,,,,,,0.4605
3,5,5,ARI,LF,Lourdes Gurriel Jr.,30,96,409,389,48,103,15,1,13,56,5,1,14,82,0.265,0.293,0.409,,,,,,,,,0.4432298288508557
4,6,6,ARI,CF,Corbin Carroll,23,101,435,378,65,80,16,7,7,36,20,5,45,79,0.212,0.303,0.347,,,,,,,,,0.4504482758620689
5,20,1,ATL,1B,Matt Olson,30,103,431,384,43,87,21,1,14,45,0,0,37,118,0.227,0.304,0.396,0.7,94.0,152.0,7.0,,,,,0.48184686774942
6,21,2,ATL,2B,Ozzie Albies ,27,90,394,361,47,93,28,1,8,46,8,1,24,61,0.258,0.31,0.407,0.717,99.0,147.0,4.0,,,,,0.4679137055837563
7,22,3,ATL,SS,Orlando Arcia,29,98,369,343,28,75,18,0,7,28,0,0,17,80,0.219,0.255,0.332,0.588,63.0,114.0,11.0,,,,,0.378070460704607
8,23,4,ATL,3B,Austin Riley,27,89,376,339,49,85,22,2,13,40,0,0,32,95,0.251,0.319,0.442,0.762,110.0,150.0,3.0,,,,,0.5271063829787234
9,24,5,ATL,LF,Jarred Kelenic,24,90,333,307,34,73,13,2,11,32,6,2,22,98,0.238,0.289,0.401,0.69,91.0,123.0,3.0,,,,,0.4670660660660661
10,27,8,ATL,DH,Marcell Ozuna,33,103,434,381,64,117,20,0,30,82,0,0,47,104,0.307,0.385,0.596,0.981,169.0,227.0,12.0,,,,,0.704294930875576
11,42,0,BAL,C,Adley Rutschman,26,97,436,391,52,104,13,0,17,61,1,0,40,73,0.266,0.333,0.43,,,,,,,,,0.5217431192660551
12,43,1,BAL,1B,Ryan Mountcastle,27,94,388,361,45,97,23,1,12,46,3,0,21,84,0.269,0.307,0.438,,,,,,,,,0.4921237113402061
13,45,3,BAL,SS,Gunnar Henderson,23,103,469,409,81,116,20,5,28,63,14,2,52,109,0.284,0.371,0.562,,,,,,,,,0.6728742004264393
14,46,4,BAL,3B,Jordan Westburg,25,96,399,371,51,99,22,5,17,54,6,3,20,87,0.267,0.314,0.491,,,,,,,,,0.541125313283208
15,47,5,BAL,LF,Colton Cowser,24,96,323,284,39,67,15,1,14,43,7,2,31,94,0.236,0.322,0.444,,,,,,,,,0.5399752321981424
16,48,6,BAL,CF,Cedric Mullins,29,95,311,290,42,63,11,3,11,36,17,5,16,73,0.217,0.261,0.39,,,,,,,,,0.4414469453376206
17,49,7,BAL,RF,Anthony Santander,29,99,419,380,57,92,16,2,29,68,1,0,29,78,0.242,0.305,0.524,,,,,,,,,0.5932124105011933
18,50,8,BAL,DH,Ryan O'Hearn,30,86,316,284,42,78,12,2,12,39,3,0,29,37,0.275,0.345,0.458,,,,,,,,,0.5497721518987342
19,61,0,BOS,C,Connor Wong,28,78,303,272,34,81,9,1,9,34,5,4,20,65,0.298,0.363,0.438,0.801,120.0,119.0,,,,,,0.504006600660066
20,64,3,BOS,SS,Ceddanne Rafaela,23,101,383,363,50,91,16,4,12,55,15,6,12,100,0.251,0.278,0.416,0.694,89.0,151.0,,,,,,0.447331592689295
21,65,4,BOS,3B,Rafael Devers,27,91,397,343,66,101,22,4,23,64,2,0,47,95,0.294,0.378,0.583,0.961,160.0,200.0,,,,,,0.7013879093198992
22,66,5,BOS,LF,Tyler O'Neill,29,75,321,280,56,77,15,0,22,43,3,0,36,104,0.275,0.361,0.564,0.926,151.0,158.0,,,,,,0.6761495327102803
23,67,6,BOS,CF,Jarren Duran,27,103,480,434,74,127,31,12,13,52,22,4,38,105,0.293,0.353,0.509,0.862,135.0,221.0,,,,,,0.5881666666666667
24,83,1,CHC,1B,Michael Busch,26,99,369,321,48,83,21,1,12,38,2,1,43,116,0.259,0.347,0.442,0.789,,,,,,,,0.5585311653116531
25,84,2,CHC,2B,Nico Hoerner,27,97,418,371,50,93,20,1,4,31,14,2,33,45,0.251,0.328,0.342,0.67,,,,,,,,0.4209473684210526
26,85,3,CHC,SS,Dansby Swanson,30,95,368,333,39,73,13,1,9,31,7,3,32,98,0.219,0.291,0.345,0.636,,,,,,,,0.4319565217391304
27,86,4,CHC,3B,Christopher Morel,25,102,420,361,43,72,7,1,18,51,7,5,47,103,0.199,0.302,0.374,0.676,,,,,,,,0.4859047619047619
28,87,5,CHC,LF,Ian Happ,29,100,414,354,54,82,23,1,16,60,7,2,53,111,0.232,0.338,0.438,0.776,,,,,,,,0.5660193236714977
29,89,7,CHC,RF,Seiya Suzuki,29,80,348,310,43,84,16,3,15,49,10,3,30,95,0.271,0.342,0.487,0.829,,,,,,,,0.5732068965517241
30,91,9,CHC,CF,Cody Bellinger ,28,79,344,312,39,84,15,1,9,37,5,2,27,59,0.269,0.331,0.41,0.742,,,,,,,,0.4884883720930232
31,102,1,CHW,1B,Andrew Vaughn,26,98,404,372,36,87,20,0,11,45,1,0,24,93,0.234,0.287,0.376,0.663,87.0,140.0,11.0,5.0,0.0,3.0,0.0,0.4354059405940594
32,103,2,CHW,2B,Nicky Lopez,29,87,307,275,24,65,10,1,0,15,5,6,23,47,0.236,0.302,0.28,0.582,68.0,77.0,2.0,3.0,6.0,0.0,0.0,0.3549185667752443
33,104,3,CHW,SS,Paul DeJong,30,100,355,330,38,75,14,0,17,38,2,1,14,112,0.227,0.273,0.424,0.697,94.0,140.0,8.0,8.0,0.0,3.0,0.0,0.4634366197183098
34,106,5,CHW,LF,Andrew Benintendi,29,84,318,294,23,58,8,0,8,28,2,2,21,58,0.197,0.252,0.306,0.558,58.0,90.0,9.0,1.0,0.0,2.0,1.0,0.3720377358490566
35,108,7,CHW,RF,Gavin Sheets,28,93,336,296,25,66,19,1,7,30,1,1,35,70,0.223,0.31,0.365,0.674,91.0,108.0,3.0,3.0,0.0,2.0,1.0,0.4691666666666667
36,128,0,CIN,C,Tyler Stephenson,27,86,303,269,40,64,16,1,11,35,1,0,28,53,0.238,0.317,0.428,0.744,105.0,115.0,4.0,4.0,0.0,,,0.5204092409240924
37,129,1,CIN,1B,Spencer Steer,26,102,428,376,53,90,24,2,15,64,15,2,45,89,0.239,0.329,0.434,0.763,111.0,163.0,3.0,6.0,0.0,,,0.5391401869158878
38,130,2,CIN,2B,Jonathan India,27,96,398,335,51,89,21,1,8,40,9,1,51,79,0.266,0.369,0.406,0.775,116.0,136.0,8.0,7.0,0.0,,,0.534140703517588
39,131,3,CIN,SS,Elly De La Cruz,22,103,444,388,70,100,21,7,18,45,51,9,49,138,0.258,0.348,0.487,0.836,130.0,189.0,8.0,5.0,2.0,,,0.5973603603603603
40,132,4,CIN,3B,Jeimer Candelario,30,92,383,351,40,81,21,2,16,49,4,3,24,92,0.231,0.287,0.439,0.726,99.0,154.0,7.0,5.0,0.0,,,0.5016631853785901
41,133,5,CIN,LF,Will Benson,26,94,310,274,30,53,16,2,11,34,13,6,31,125,0.193,0.278,0.387,0.665,83.0,106.0,3.0,2.0,1.0,,,0.487
42,154,1,CLE,1B,Josh Naylor,27,97,405,357,55,85,17,0,22,72,5,2,38,70,0.238,0.319,0.471,,,,,,,,,0.5648271604938271
43,155,2,CLE,2B,Andrés Giménez,25,97,406,370,44,92,14,1,5,45,16,3,17,59,0.249,0.3,0.332,,,,,,,,,0.373871921182266
44,157,4,CLE,3B,José Ramírez,31,101,438,403,72,109,22,1,24,82,19,3,32,58,0.27,0.324,0.509,,,,,,,,,0.5820593607305936
45,158,5,CLE,LF,Steven Kwan,26,78,345,315,57,107,14,2,10,29,6,4,25,30,0.34,0.394,0.492,,,,,,,,,0.564463768115942
46,159,6,CLE,CF,Tyler Freeman,25,92,331,284,44,63,13,1,7,32,9,6,27,48,0.222,0.317,0.349,,,,,,,,,0.4305709969788519
47,173,2,COL,2B,Brendan Rodgers,27,88,347,323,41,86,16,1,7,33,1,0,22,77,0.266,0.314,0.387,0.701,,,,,,,,0.4504005763688761
48,174,3,COL,SS,Ezequiel Tovar,22,103,457,430,53,122,29,2,17,50,4,4,15,129,0.284,0.31,0.479,0.789,,,,,,,,0.5118227571115973
49,175,4,COL,3B,Ryan McMahon,29,102,434,380,50,100,21,0,15,47,3,5,48,123,0.263,0.347,0.437,0.784,,,,,,,,0.5475990783410138
50,177,6,COL,CF,Brenton Doyle,26,101,416,371,59,102,18,3,17,53,21,5,34,104,0.275,0.337,0.477,0.814,,,,,,,,0.5587307692307693
51,179,8,COL,DH,Charlie Blackmon,37,80,322,289,42,74,19,3,7,34,5,1,28,54,0.256,0.332,0.415,0.748,,,,,,,,0.5019565217391304
52,193,2,DET,2B,Colt Keith,22,95,350,321,40,83,10,3,11,41,5,1,26,65,0.259,0.317,0.411,0.728,,,,,,,,0.4852857142857142
53,196,5,DET,LF,Riley Greene ,23,101,427,371,57,98,21,5,17,51,4,1,51,109,0.264,0.357,0.485,0.842,,,,,,,,0.6044379391100703
54,197,6,DET,CF,Matt Vierling,27,94,369,345,51,88,18,5,13,42,2,1,19,84,0.255,0.295,0.449,0.745,,,,,,,,0.5004905149051491
55,198,7,DET,RF,Wenceel Pérez,24,86,334,307,44,77,13,5,7,27,9,3,23,67,0.251,0.304,0.394,0.698,,,,,,,,0.4628622754491018
56,199,8,DET,DH,Mark Canha,35,91,369,313,41,73,17,0,7,38,4,0,41,76,0.233,0.339,0.355,0.693,,,,,,,,0.4661111111111111
57,211,0,HOU,C,Yainer Diaz,25,93,380,357,43,103,17,3,8,55,1,0,15,55,0.289,0.313,0.42,,,,,,,,,0.4594736842105263
58,213,2,HOU,2B,Jose Altuve,34,101,448,418,59,128,19,0,14,46,15,5,26,86,0.306,0.353,0.452,,,,,,,,,0.5100357142857143
59,214,3,HOU,SS,Jeremy Peña,26,102,424,391,53,111,18,1,9,47,12,5,18,68,0.284,0.327,0.404,,,,,,,,,0.4464528301886792
60,215,4,HOU,3B,Alex Bregman,30,100,436,398,53,102,20,2,14,51,3,0,32,57,0.256,0.317,0.422,,,,,,,,,0.495394495412844
61,217,6,HOU,CF,Jake Meyers,28,95,325,295,35,71,15,2,11,43,7,3,22,72,0.241,0.306,0.417,,,,,,,,,0.4846923076923076
62,219,8,HOU,DH,Yordan Alvarez,27,99,425,370,58,111,25,2,20,54,5,0,44,67,0.3,0.384,0.541,,,,,,,,,0.6445294117647059
63,230,0,KCR,C,Salvador Perez,34,102,413,375,43,104,16,0,19,70,0,0,28,80,,,,,,,,,,,,
64,231,1,KCR,1B,Vinnie Pasquantino,26,101,418,368,45,95,23,2,11,67,0,0,34,54,,,,,,,,,,,,
65,233,3,KCR,SS,Bobby Witt Jr.,24,105,459,418,84,143,29,10,18,71,23,10,30,73,,,,,,,,,,,,
66,234,4,KCR,3B,Maikel Garcia,24,102,440,405,62,95,16,5,6,45,23,1,29,68,,,,,,,,,,,,
67,246,0,LAA,C,Logan O'Hoppe,24,90,344,316,46,88,13,1,14,43,2,2,18,87,0.278,0.332,0.459,0.791,119.0,145.0,,,,,,0.5113255813953489
68,247,1,LAA,1B,Nolan Schanuel,22,97,398,340,38,84,11,0,11,37,4,0,43,66,0.247,0.338,0.376,0.714,100.0,128.0,,,,,,0.4840402010050251
69,249,3,LAA,SS,Zach Neto,23,102,379,349,43,89,23,0,13,46,18,6,19,85,0.255,0.308,0.433,0.74,104.0,151.0,,,,,,0.483131926121372
70,251,5,LAA,LF,Taylor Ward,30,102,428,374,46,84,18,0,15,47,3,3,45,106,0.225,0.308,0.393,0.701,95.0,147.0,,,,,,0.4981401869158878
71,253,7,LAA,RF,Jo Adell,25,95,322,289,39,56,9,1,15,46,13,7,25,94,0.194,0.265,0.388,0.652,80.0,112.0,,,,,,0.465639751552795
72,266,0,LAD,C,Will Smith,29,87,376,328,50,84,19,1,15,56,0,1,37,73,0.256,0.335,,,,,,,,,,
73,267,1,LAD,1B,Freddie Freeman ,34,104,456,379,63,109,26,2,16,67,5,2,61,68,0.288,0.395,,,,,,,,,,
74,268,2,LAD,2B,Gavin Lux,26,87,305,284,33,67,12,2,5,30,4,1,20,66,0.236,0.289,,,,,,,,,,
75,269,3,LAD,SS,Mookie Betts ,31,72,331,283,50,86,16,3,10,40,9,1,47,34,0.304,0.405,,,,,,,,,,
76,271,5,LAD,LF,Teoscar Hernández,31,104,441,399,51,105,20,1,21,68,4,2,35,122,0.263,0.33,,,,,,,,,,
77,272,6,LAD,CF,Andy Pages,23,86,350,320,49,78,17,1,8,29,1,2,20,87,0.244,0.297,,,,,,,,,,
78,274,8,LAD,DH,Shohei Ohtani,29,103,470,403,81,128,28,4,32,76,26,4,59,105,0.318,0.406,,,,,,,,,,
79,285,1,MIA,1B,Josh Bell,31,103,436,394,38,94,18,1,14,49,0,0,33,87,0.239,0.303,0.396,0.699,,,,,,,,0.4716880733944954
80,290,6,MIA,CF,Jazz Chisholm Jr.,26,101,430,386,46,96,14,4,13,50,22,8,39,107,0.249,0.323,0.407,0.73,,,,,,,,0.4976976744186046
81,291,7,MIA,RF,Jesús Sánchez,26,95,330,306,33,75,15,1,12,39,7,1,18,80,0.245,0.295,0.418,0.713,,,,,,,,0.4725454545454545
82,292,8,MIA,DH,Bryan De La Cruz,27,104,449,420,44,102,18,0,18,50,3,1,24,117,0.243,0.286,0.414,0.7,,,,,,,,0.4674521158129175
83,293,9,MIA,CI,Jake Burger,28,82,338,316,36,74,12,1,13,39,0,1,19,91,0.234,0.278,0.402,0.68,,,,,,,,0.4582130177514793
84,304,0,MIL,C,William Contreras,26,100,451,406,66,117,26,1,11,57,5,1,41,88,0.288,0.355,0.438,0.793,,,,,,,,0.5289090909090909
85,305,1,MIL,1B,Rhys Hoskins,31,80,320,279,33,60,9,0,17,52,2,0,31,87,0.215,0.304,0.43,0.734,,,,,,,,0.526875
86,306,2,MIL,2B,Brice Turang,24,100,405,364,47,96,16,2,6,43,31,5,34,70,0.264,0.327,0.368,0.695,,,,,,,,0.4519506172839506
87,307,3,MIL,SS,Willy Adames,28,104,452,397,55,98,24,0,16,68,12,3,51,103,0.247,0.332,0.428,0.76,,,,,,,,0.5408318584070796
88,309,5,MIL,LF,Christian Yelich ,32,73,315,270,44,85,12,3,11,42,21,1,40,58,0.315,0.406,0.504,0.909,,,,,,,,0.630984126984127
89,311,7,MIL,RF,Jackson Chourio,20,91,325,301,44,78,14,0,10,41,12,4,21,71,0.259,0.306,0.405,0.711,,,,,,,,0.4696153846153846
90,313,9,MIL,OF,Sal Frelick,24,93,350,311,45,82,14,2,2,20,14,3,32,57,0.264,0.338,0.341,0.679,,,,,,,,0.4324285714285714
91,325,1,MIN,1B,Carlos Santana,38,96,376,333,37,82,20,0,14,46,3,0,38,62,0.246,0.332,0.432,,,,,,,,,0.533063829787234
92,327,3,MIN,SS,Carlos Correa ,29,75,317,279,51,86,16,2,13,47,0,0,30,53,0.308,0.377,0.52,,,,,,,,,0.6146372239747634
93,333,9,MIN,UT,Willi Castro,27,103,420,368,58,95,24,5,7,34,10,7,36,100,0.258,0.348,0.408,,,,,,,,,0.4937142857142856
94,334,10,MIN,C,Ryan Jeffers,27,81,318,277,37,64,18,0,14,47,2,0,23,64,0.231,0.315,0.448,,,,,,,,,0.5203270440251573
95,344,1,NYM,1B,Pete Alonso,29,104,450,398,57,96,24,0,20,53,2,0,43,91,0.241,0.324,0.452,,,,,,,,,0.5475555555555556
96,345,2,NYM,2B,Jeff McNeil,32,97,356,327,43,76,18,0,9,33,5,1,23,45,0.232,0.287,0.37,,,,,,,,,0.4346067415730337
97,346,3,NYM,SS,Francisco Lindor,30,104,475,421,70,107,27,0,22,62,20,3,40,79,0.254,0.333,0.475,,,,,,,,,0.5592105263157895
98,348,5,NYM,LF,Brandon Nimmo,31,98,438,371,61,87,18,2,16,63,9,0,56,112,0.235,0.352,0.423,,,,,,,,,0.5508538812785388
99,349,6,NYM,CF,Harrison Bader,30,89,302,281,40,74,15,0,8,36,14,8,13,66,0.263,0.301,0.402,,,,,,,,,0.445046357615894
100,351,8,NYM,DH,J.D. Martinez,36,75,317,279,30,73,16,1,11,44,0,0,30,92,0.262,0.341,0.444,,,,,,,,,0.5386372239747634
101,363,2,NYY,2B,Gleyber Torres,27,100,412,364,45,86,18,0,10,39,4,3,38,94,0.236,0.31,,,,,,,,,,
102,364,3,NYY,SS,Anthony Volpe,23,105,474,437,66,110,19,7,8,37,18,5,30,101,0.252,0.304,,,,,,,,,,
103,366,5,NYY,LF,Alex Verdugo,28,102,428,387,45,91,21,1,10,48,1,1,32,67,0.235,0.29,,,,,,,,,,
104,367,6,NYY,CF,Aaron Judge,32,104,462,370,80,116,25,1,37,95,5,0,82,112,0.314,0.445,,,,,,,,,,
105,368,7,NYY,RF,Juan Soto,25,102,466,376,86,116,20,4,27,74,5,2,84,73,0.309,0.433,,,,,,,,,,
106,378,0,OAK,C,Shea Langeliers,26,90,345,314,39,67,11,2,20,56,4,2,24,98,0.213,0.272,0.452,0.725,105.0,142.0,,,,,,0.5215652173913043
107,380,2,OAK,2B,Zack Gelof,24,85,340,309,38,59,9,2,13,35,12,1,23,119,0.191,0.254,0.359,0.614,75.0,111.0,,,,,,0.4266470588235294
108,382,4,OAK,3B,Abraham Toro,27,79,316,296,32,75,15,1,6,25,4,2,13,56,0.253,0.296,0.372,0.668,92.0,110.0,,,,,,0.4131392405063291
109,384,6,OAK,CF,JJ Bleday,26,105,422,377,46,88,30,4,12,36,0,1,43,80,0.233,0.314,0.43,0.743,113.0,162.0,,,,,,0.5318957345971564
110,386,8,OAK,DH,Brent Rooker,29,92,382,337,51,99,19,2,25,72,7,1,39,116,0.294,0.369,0.585,0.954,170.0,197.0,,,,,,0.6870942408376963
111,399,1,PHI,1B,Bryce Harper,31,89,392,337,61,97,22,0,24,67,5,3,53,81,0.288,0.383,,,,,,,,,,
112,400,2,PHI,2B,Bryson Stott,26,96,375,325,45,78,12,2,7,43,23,2,40,61,0.24,0.323,,,,,,,,,,
113,402,4,PHI,3B,Alec Bohm,27,102,435,391,45,116,36,1,11,71,4,2,33,63,0.297,0.354,,,,,,,,,,
114,405,7,PHI,RF,Nick Castellanos,32,104,432,399,48,97,20,2,15,54,3,2,27,95,0.243,0.296,,,,,,,,,,
115,406,8,PHI,DH,Kyle Schwarber,31,93,430,351,67,86,11,0,20,60,4,2,70,118,0.245,0.37,,,,,,,,,,
116,418,3,PIT,SS,Oneil Cruz,25,93,378,349,47,88,21,2,16,52,9,1,26,121,0.252,0.304,0.461,,,,,,,,,0.5297830687830688
117,419,4,PIT,3B,Ke'Bryan Hayes,27,79,325,298,32,72,9,0,3,21,8,2,19,58,0.242,0.292,0.302,,,,,,,,,0.3604615384615384
118,420,5,PIT,LF,Bryan Reynolds ,29,101,450,406,49,117,20,3,18,61,5,0,37,94,0.288,0.353,0.485,,,,,,,,,0.5672222222222222
119,423,8,PIT,DH,Andrew McCutchen,37,89,385,335,53,75,13,1,13,28,3,2,45,100,0.224,0.325,0.385,,,,,,,,,0.5018831168831169
120,424,9,PIT,UT,Connor Joe,31,89,323,286,41,68,18,1,7,31,2,1,30,62,0.238,0.322,0.381,,,,,,,,,0.4738792569659443
121,435,1,SDP,1B,Jake Cronenworth,30,102,438,391,52,98,19,2,14,60,2,2,33,80,0.251,0.318,0.417,,,,,,,,,0.4923424657534246
122,437,3,SDP,SS,Ha-Seong Kim,28,105,412,354,54,81,13,3,10,43,19,4,51,68,0.229,0.327,0.367,,,,,,,,,0.4907864077669903
123,438,4,SDP,3B,Manny Machado,31,99,412,381,48,100,17,0,14,56,5,1,29,85,0.262,0.316,0.417,,,,,,,,,0.4873883495145631
124,439,5,SDP,LF,Jurickson Profar,31,105,431,372,59,113,17,0,18,66,5,2,49,63,0.304,0.392,0.495,,,,,,,,,0.6086890951276102
125,440,6,SDP,CF,Jackson Merrill,21,103,385,362,46,103,15,3,12,52,11,2,17,72,0.285,0.316,0.442,,,,,,,,,0.4861558441558442
126,441,7,SDP,RF,Fernando Tatis Jr. ,25,80,345,308,50,86,14,1,14,36,8,3,30,71,0.279,0.354,0.468,,,,,,,,,0.5549565217391305
127,452,0,SEA,C,Cal Raleigh,27,100,392,343,43,73,10,0,21,63,5,0,41,121,0.213,0.301,0.426,0.727,110.0,146.0,4.0,4.0,,,,0.5305918367346939
128,453,1,SEA,1B,Ty France ,29,88,340,300,28,67,14,0,8,31,0,1,28,83,0.223,0.312,0.35,0.662,94.0,105.0,11.0,11.0,,,,0.4323529411764705
129,455,3,SEA,SS,J.P. Crawford ,29,77,335,294,42,60,13,1,9,32,5,0,38,76,0.204,0.299,0.347,0.645,89.0,102.0,1.0,2.0,,,,0.4604328358208955
130,456,4,SEA,3B,Josh Rojas,30,93,329,293,35,69,16,2,5,20,6,4,33,69,0.235,0.315,0.355,0.67,97.0,104.0,4.0,1.0,,,,0.4553039513677811
131,458,6,SEA,CF,Julio Rodríguez ,23,100,413,384,45,101,9,0,11,37,18,4,24,112,0.263,0.315,0.372,0.687,101.0,143.0,3.0,5.0,,,,0.4301113801452784
132,459,7,SEA,RF,Mitch Haniger,33,88,317,282,31,58,11,0,9,35,0,0,33,90,0.206,0.29,0.34,0.631,85.0,96.0,7.0,1.0,,,,0.4441009463722398
133,460,8,SEA,DH,Mitch Garver,33,86,335,283,32,50,14,0,12,38,0,0,44,103,0.177,0.296,0.353,0.649,90.0,100.0,7.0,5.0,,,,0.4843432835820895
134,478,2,SFG,2B,Thairo Estrada ,28,87,346,329,41,71,14,2,9,43,1,2,10,67,0.216,0.249,0.353,0.601,72.0,116.0,8.0,5.0,0.0,,,0.3819017341040462
135,479,4,SFG,3B,Matt Chapman,31,104,447,392,72,93,27,0,15,46,11,1,50,107,0.237,0.329,0.421,0.75,116.0,165.0,8.0,4.0,0.0,,,0.5328568232662192
136,480,5,SFG,LF,Michael Conforto,31,82,307,277,29,61,17,2,10,40,0,1,27,75,0.22,0.293,0.404,0.697,100.0,112.0,6.0,2.0,0.0,,,0.4919478827361563
137,481,6,SFG,CF,Heliot Ramos,24,70,306,277,30,81,13,1,15,53,2,0,26,81,0.292,0.353,0.509,0.862,147.0,141.0,6.0,1.0,0.0,,,0.593967320261438
138,483,8,SFG,DH,Jorge Soler,32,92,387,336,56,79,22,1,12,39,1,0,44,95,0.235,0.326,0.414,0.74,114.0,139.0,9.0,3.0,0.0,,,0.5276950904392764
139,499,1,STL,1B,Paul Goldschmidt,36,100,436,401,49,91,16,0,15,40,6,0,31,125,0.227,,,,,,,,,,,
140,500,2,STL,2B,Nolan Gorman,24,95,363,328,41,67,13,0,19,50,6,1,32,138,0.204,,,,,,,,,,,
141,501,3,STL,SS,Masyn Winn,22,96,389,355,47,101,18,4,6,36,9,3,28,70,0.285,,,,,,,,,,,
142,502,4,STL,3B,Nolan Arenado,33,98,411,372,41,98,14,0,11,45,1,1,29,60,0.263,,,,,,,,,,,
143,503,5,STL,LF,Brendan Donovan,27,99,431,388,44,103,22,1,9,48,3,3,30,55,0.265,,,,,,,,,,,
144,506,8,STL,DH,Alec Burleson,25,97,378,352,45,101,14,0,18,60,7,3,15,48,0.287,,,,,,,,,,,
145,516,1,TBR,1B,Yandy Díaz,32,96,425,390,36,106,21,1,9,47,0,0,31,62,0.272,0.327,0.4,,,,,,,,,0.4729411764705882
146,518,3,TBR,SS,José Caballero,27,87,317,288,40,68,13,1,7,27,25,11,19,88,0.236,0.296,0.361,,,,,,,,,0.4209369085173501
147,519,4,TBR,3B,Isaac Paredes,25,100,425,361,41,89,19,1,16,55,0,1,51,68,0.247,0.355,0.438,,,,,,,,,0.558
148,520,6,TBR,CF,Jose Siri,28,89,322,286,40,57,13,0,14,37,10,7,24,113,0.199,0.27,0.392,,,,,,,,,0.4665341614906833
149,532,0,TEX,C,Jonah Heim,29,90,345,321,33,75,9,0,9,42,1,1,21,65,0.234,0.281,0.346,0.627,,,,,,,,0.4068695652173912
150,533,1,TEX,1B,Nathaniel Lowe,28,84,338,290,37,77,12,0,8,42,2,0,44,74,0.266,0.361,0.39,0.751,,,,,,,,0.5201775147928994
151,534,2,TEX,2B,Marcus Semien,33,103,464,418,70,103,18,2,15,53,3,2,44,62,0.246,0.319,0.407,0.726,,,,,,,,0.5018275862068965
152,535,3,TEX,SS,Corey Seager,30,92,395,346,50,94,13,0,19,49,1,0,45,70,0.272,0.359,0.474,0.833,,,,,,,,0.5879240506329113
153,536,4,TEX,3B,Josh Smith,26,98,373,319,46,90,20,1,10,43,6,1,35,75,0.282,0.38,0.445,0.825,,,,,,,,0.5388337801608579
154,537,5,TEX,LF,Wyatt Langford,22,81,335,303,34,74,15,4,5,43,9,2,28,68,0.244,0.31,0.37,0.68,,,,,,,,0.4535820895522388
155,538,6,TEX,CF,Leody Taveras,25,100,359,325,37,74,11,3,7,26,12,4,30,71,0.228,0.292,0.345,0.637,,,,,,,,0.4285654596100278
156,539,7,TEX,RF,Adolis García,31,100,416,375,50,80,16,0,18,53,9,3,31,109,0.213,0.279,0.4,0.679,,,,,,,,0.4745192307692308
157,551,1,TOR,1B,Vladimir Guerrero Jr.,25,103,448,399,56,120,22,0,18,62,2,1,45,71,0.301,0.373,0.491,,,,,,,,,0.5914464285714286
158,553,3,TOR,SS,Bo Bichette ,26,79,330,305,29,68,16,1,4,30,5,1,20,62,0.223,0.276,0.321,,,,,,,,,0.3816060606060606
159,555,5,TOR,LF,Davis Schneider,25,93,320,277,37,61,17,0,10,36,4,0,35,88,0.22,0.313,0.39,,,,,,,,,0.499375
160,557,7,TOR,RF,George Springer,34,97,402,357,50,81,15,1,13,40,12,0,40,72,0.227,0.307,0.384,,,,,,,,,0.483502487562189
161,558,8,TOR,DH,Justin Turner,39,88,343,295,36,74,17,0,6,31,0,2,39,60,0.251,0.347,0.369,,,,,,,,,0.4827026239067055
162,559,9,TOR,OF,Daulton Varsho,27,96,356,318,48,64,15,6,12,43,9,2,35,98,0.201,0.282,0.399,,,,,,,,,0.4973146067415731
163,569,1,WSN,1B,Joey Meneses ,32,76,313,281,19,65,11,0,3,42,2,0,21,63,0.231,0.291,0.302,0.593,,,,,,,,0.3690926517571885
164,570,2,WSN,2B,Luis García Jr.,24,90,345,329,35,92,18,1,11,50,15,3,16,55,0.28,0.313,0.441,0.754,,,,,,,,0.4873768115942029
165,571,3,WSN,SS,CJ Abrams,23,97,433,386,63,100,21,6,15,50,19,10,33,85,0.259,0.333,0.461,0.794,,,,,,,,0.5372124711316397
166,573,5,WSN,LF,Jesse Winker,30,101,379,315,51,81,18,0,11,45,14,4,53,84,0.257,0.374,0.419,0.793,,,,,,,,0.5588416886543536
167,574,6,WSN,CF,Jacob Young,24,94,330,294,53,73,14,1,1,22,24,5,20,67,0.248,0.315,0.313,0.628,,,,,,,,0.3736060606060606
168,575,7,WSN,RF,Lane Thomas,28,76,337,296,42,74,14,3,8,39,28,12,32,72,0.25,0.329,0.399,0.728,,,,,,,,0.4939554896142433
